label;latitude;longitude
hautecour;46,56;5,78
lalande;47,68;3,31
jeurre;46,37;5,7
levis;47,66;3,33
montlainsia;46,38;5,48
ligny le chatel;47,92;3,75
le larderet;46,82;5,95
lixy;48,25;3,11
lavangeot;47,15;5,61
lucy le bois;47,57;3,89
valzin en petite montagne;46,43;5,59
malay le petit;48,18;3,38
loulle;46,71;5,88
melisey;47,92;4,08
louvatange;47,19;5,72
molinons;48,22;3,54
le louverot;46,73;5,58
molosmes;47,9;4,02
macornay;46,64;5,54
moulins sur ouanne;47,7;3,34
maisod;46,48;5,69
neuvy sautour;48,05;3,79
menetrux en joux;46,62;5,84
nitry;47,68;3,88
merona;46,55;5,64
ouanne;47,66;3,42
molamboz;46,95;5,68
pailly;48,34;3,33
monnet la ville;46,72;5,81
perrigny sur armancon;47,69;4,22
montaigu;46,65;5,57
pisy;47,57;4,14
montrevel;46,43;5,49
quenne;47,78;3,65
hauts de bienne;46,51;6
rosoy;48,15;3,31
neublans abergement;46,9;5,34
st agnan;48,3;3,06
neuvilley;46,89;5,6
st brancher;47,43;3,99
pagnoz;46,97;5,83
st clement;48,22;3,31
pannessieres;46,7;5,59
st georges sur baulche;47,8;3,52
parcey;47,02;5,48
st germain des champs;47,42;3,92
petit noir;46,93;5,34
st julien du sault;48,03;3,28
plaisia;46,53;5,64
saligny;48,22;3,35
les planches en montagne;46,66;6
sauvigny le bois;47,51;3,96
les planches pres arbois;46,88;5,81
savigny en terre plaine;47,49;4,08
plasne;46,79;5,69
sepeaux st romain;47,94;3,24
plumont;47,11;5,72
serrigny;47,83;3,91
pont d hery;46,88;5,9
les hauts de forterre;47,61;3,43
port lesney;47;5,82
talcy;47,58;4,08
rans;47,14;5,72
thorigny sur oreuse;48,3;3,38
recanoz;46,81;5,51
varennes;47,91;3,79
les repots;46,69;5,41
vassy sous pisy;47,57;4,17
revigny;46,63;5,61
vermenton;47,67;3,79
les rousses;46,5;6,07
vezinnes;47,89;3,93
les rousses;46,5;6,07
villebougis;48,21;3,16
st baraing;46,99;5,43
villechetive;48,1;3,53
st claude;46,41;5,88
villeneuve la dondagre;48,14;3,14
st claude;46,41;5,88
villeroy;48,18;3,18
st claude;46,41;5,88
perceneige;48,35;3,41
st cyr montmalin;46,96;5,72
perceneige;48,35;3,41
sampans;47,13;5,45
vinneuf;48,35;3,14
sarrogna;46,47;5,62
voisines;48,25;3,41
saugeot;46,6;5,82
andelnans;47,6;6,87
septmoncel les molunes;46,36;5,93
belfort;47,65;6,85
serre les moulieres;47,21;5,61
bermont;47,58;6,85
sirod;46,72;5,99
courcelles;47,5;7,07
uxelles;46,6;5,79
faverois;47,53;7,04
vaudrey;46,97;5,63
felon;47,71;6,98
villeneuve d aval;46,97;5,75
fontaine;47,66;7
villers les bois;46,93;5,57
giromagny;47,74;6,82
val sonnette;46,6;5,46
grandvillars;47,54;6,97
vosbles valfin;46,35;5,52
joncherey;47,53;7,01
lepuix;47,78;6,82
montreux chateau;47,61;6,99
novillard;47,61;6,96
petit croix;47,62;6,97
petitefontaine;47,72;7,01
sermamagny;47,69;6,83
trevenans;47,57;6,87
vauthiermont;47,68;7,02
annay la cote;47,55;3,87
beru;47,8;3,89
les bordes;48,11;3,39
brannay;48,23;3,12
brienon sur armancon;48;3,62
censy;47,7;4,05
champcevrais;47,76;2,98
champignelles;47,78;3,08
champs sur yonne;47,75;3,6
charny oree de puisaye;47,87;3,12
charny oree de puisaye;47,87;3,12
charny oree de puisaye;47,87;3,12
charny oree de puisaye;47,87;3,12
chassignelles;47,77;4,2
chastellux sur cure;47,39;3,88
chatel censoir;47,52;3,64
chaumont;48,31;3,1
les clerimois;48,23;3,46
cornant;48,14;3,19
courson les carrieres;47,6;3,5
dissangis;47,59;3,98
escolives ste camille;47,72;3,6
etaule;47,53;3,91
etigny;48,14;3,28
evry;48,27;3,26
la ferte loupiere;47,89;3,24
fleys;47,82;3,86
flogny la chapelle;47,96;3,88
fontenay pres chablis;47,84;3,81
fontenay sous fouronnes;47,62;3,6
foucheres;48,18;3,15
fresnes;47,76;3,99
gisy les nobles;48,29;3,25
valravillon;47,9;3,43
valravillon;47,9;3,43
valravillon;47,9;3,43
irancy;47,71;3,69
joigny;48,01;3,41
jussy;47,72;3,57
lasson;48,06;3,81
looze;48;3,44
lucy sur cure;47,64;3,76
massangis;47,63;3,98
mezilles;47,69;3,18
migennes;47,98;3,53
molay;47,74;3,94
nailly;48,22;3,21
pasilly;47,7;4,08
plessis st jean;48,34;3,3
poilly sur serein;47,76;3,89
la postolle;48,28;3,45
precy le sec;47,59;3,83
st cyr les colons;47,73;3,76
st martin d ordon;48,03;3,17
st maurice aux riches hommes;48,33;3,5
st maurice thizouaille;47,83;3,36
st prive;47,69;3
st sauveur en puisaye;47,64;3,2
st valerien;48,18;3,1
santigny;47,58;4,12
savigny sur clairis;48,08;3,08
sementron;47,63;3,36
sennevoy le bas;47,8;4,31
sens;48,2;3,3
sepeaux st romain;47,94;3,24
sergines;48,35;3,25
sermizelles;47,54;3,8
subligny;48,17;3,2
tanlay;47,84;4,09
les vallees de la vanne;48,18;3,47
les vallees de la vanne;48,18;3,47
thorey;47,9;4,11
thorigny sur oreuse;48,3;3,38
thorigny sur oreuse;48,3;3,38
thory;47,57;3,92
toucy;47,73;3,29
venizy;48,07;3,68
venouse;47,9;3,69
vergigny;47,96;3,7
vezannes;47,87;3,88
villemanoche;48,3;3,17
villeneuve la guyard;48,34;3,06
villethierry;48,27;3,07
perceneige;48,35;3,41
perceneige;48,35;3,41
villiers louis;48,2;3,4
villiers vineux;47,94;3,82
auxelles bas;47,73;6,78
auxelles haut;47,75;6,78
beaucourt;47,49;6,93
bourg sous chatelet;47,71;6,95
buc;47,62;6,79
chavanatte;47,58;7,07
denney;47,66;6,91
dorans;47,58;6,84
fontenelle;47,62;6,96
froidefontaine;47,56;6,96
grosne;47,57;6,99
lachapelle sous rougemont;47,71;7,02
lebetain;47,49;6,97
meroux moval;47,59;6,91
morvillars;47,54;6,94
riervescemont;47,77;6,88
rougegoutte;47,73;6,86
suarce;47,56;7,08
thiancourt;47,52;6,98
valdoie;47,67;6,85
vellescot;47,57;7,02
vescemont;47,75;6,85
villars le sec;47,46;6,99
aboncourt gesincourt;47,77;5,97
ainvelle;47,85;6,24
alaincourt;47,95;6,1
ancier;47,44;5,64
anjeux;47,88;6,21
arc les gray;47,46;5,58
aroz;47,61;6,01
athesans etroitefontaine;47,59;6,52
attricourt;47,49;5,41
aulx les cromary;47,38;6,1
avrigney virey;47,34;5,78
la barre;47,41;6,17
les baties;47,5;5,9
beaujeu et quitteur;47,5;5,69
abbans dessus;47,13;5,89
beaumotte les pin;47,32;5,83
accolans;47,49;6,53
belfahy;47,79;6,73
amagney;47,31;6,15
belmont;47,78;6,5
amancey;47,03;6,08
bonboillon;47,34;5,7
anteuil;47,38;6,58
bouhans et feurg;47,47;5,51
audincourt;47,48;6,85
bouhans les lure;47,7;6,44
les auxons;47,3;5,95
boulot;47,35;5,96
avilley;47,43;6,27
bourguignon les la charite;47,51;5,96
avoudrey;47,14;6,43
bourguignon les morey;47,71;5,71
bart;47,49;6,77
breuches;47,8;6,33
bartherans;47,04;5,93
breuchotte;47,83;6,46
bians les usiers;46,96;6,27
broye aubigney montseugny;47,33;5,52
le bizot;47,14;6,67
broye aubigney montseugny;47,33;5,52
bondeval;47,43;6,85
bucey les gy;47,41;5,86
bonnevaux;46,81;6,2
bussieres;47,34;5,98
la breteniere;47,38;6,28
cemboing;47,84;5,85
bulle;46,91;6,2
champlitte;47,63;5,51
burnevillers;47,33;7,02
chariez;47,62;6,08
cessey;47,11;5,92
charmoille;47,67;6,11
chamesol;47,35;6,84
chassey les montbozon;47,52;6,33
champlive;47,29;6,24
chatenois;47,68;6,32
chaux neuve;46,66;6,15
chaumercenne;47,3;5,63
colombier fontaine;47,45;6,69
choye;47,39;5,76
corcelle mieslot;47,36;6,18
citey;47,44;5,79
cotebrune;47,25;6,31
clans;47,6;6,03
courtefontaine;47,32;6,91
colombier;47,67;6,22
courvieres;46,86;6,1
corbenay;47,9;6,33
crosey le petit;47,34;6,48
corravillers;47,89;6,64
cusance;47,32;6,44
courcuire;47,35;5,83
dambenois;47,54;6,87
courmont;47,61;6,64
dannemarie;47,39;6,9
la creuse;47,68;6,35
deluz;47,3;6,19
cromary;47,36;6,07
dommartin;46,93;6,31
cult;47,31;5,74
ecot;47,42;6,73
dampierre les conflans;47,84;6,18
eternoz;47,02;6
villeneuve d amont;46,94;6,04
echavanne;47,66;6,72
etrabonne;47,23;5,74
villers st martin;47,34;6,4
echenans sous mont vaudois;47,6;6,77
exincourt;47,5;6,83
voillans;47,39;6,42
echenoz la meline;47,59;6,14
eysson;47,2;6,43
vorges les pins;47,15;5,93
ehuns;47,77;6,3
ferrieres les bois;47,21;5,8
faymont;47,61;6,6
fourg;47,09;5,8
ferrieres les ray;47,58;5,79
gemonval;47,53;6,59
filain;47,53;6,18
glay;47,4;6,89
fleurey les lavoncourt;47,66;5,79
gondenans montby;47,44;6,46
fontaine les luxeuil;47,86;6,33
grand charmont;47,53;6,82
fouvent st andoche;47,65;5,67
grandfontaine;47,2;5,9
genevrey;47,72;6,33
fournets luisans;47,1;6,56
grammont;47,51;6,51
granges narboz;46,88;6,32
grandecourt;47,64;5,86
les gras;46,99;6,54
gy;47,4;5,81
le gratteris;47,18;6,13
hautevelle;47,84;6,29
les hopitaux neufs;46,79;6,39
hericourt;47,57;6,76
huanne montmartin;47,43;6,34
hericourt;47,57;6,76
indevillers;47,31;6,97
hericourt;47,57;6,76
l isle sur le doubs;47,42;6,59
hugier;47,31;5,71
lanans;47,29;6,45
hyet;47,48;6,08
lanthenans;47,39;6,63
jasney;47,87;6,18
lomont sur crete;47,34;6,44
jonvelle;47,93;5,91
le luhier;47,17;6,68
larret;47,63;5,63
marchaux chaudefontaine;47,33;6,14
lieffrans;47,52;5,97
les monts ronds;47,16;6,06
linexert;47,74;6,48
meslieres;47,42;6,89
loeuilley;47,47;5,4
mesmay;47,06;5,85
lure;47,69;6,5
miserey salines;47,29;5,97
luze;47,61;6,72
montagney servigney;47,47;6,3
maussans;47,44;6,25
montbeliard;47,52;6,79
mersuay;47,78;6,14
montbeliardot;47,18;6,67
moffans et vacheresse;47,63;6,55
mont de vougney;47,24;6,74
mollans;47,65;6,39
naisey les granges;47,21;6,23
montarlot les rioz;47,42;6
narbief;47,13;6,69
montcey;47,65;6,24
neuchatel urtiere;47,38;6,73
montcourt;47,93;5,96
les premiers sapins;47,08;6,34
villers chemin mont les etrelles;47,44;5,88
les premiers sapins;47,08;6,34
mont st leger;47,64;5,8
les premiers sapins;47,08;6,34
la roche morey;47,69;5,75
les premiers sapins;47,08;6,34
neurey en vaux;47,74;6,2
nommay;47,54;6,85
oyrieres;47,53;5,57
onans;47,5;6,6
plancher les mines;47,79;6,77
orve;47,34;6,56
quers;47,73;6,42
osselle routelle;47,15;5,86
raze;47,58;6
paroy;47,04;5,88
recologne les rioz;47,47;5,98
pelousey;47,28;5,93
renaucourt;47,64;5,76
petite chaux;46,68;6,16
la resie st martin;47,31;5,61
pirey;47,26;5,97
rigny;47,48;5,63
les plains et grands essarts;47,3;6,9
rioz;47,44;6,08
pont de roide vermondans;47,39;6,76
la rochelle;47,75;5,73
pouligney lusans;47,34;6,2
la rosiere;47,91;6,62
pugey;47,17;5,99
st bresson;47,88;6,51
rancenay;47,19;5,95
st broing;47,46;5,68
raynans;47,54;6,72
ste reine;47,5;5,78
recologne;47,27;5,83
saponcourt;47,87;6,02
remoray boujeons;46,76;6,22
saulnot;47,57;6,63
renedale;47,02;6,28
savoyeux;47,55;5,74
rennes sur loue;47,02;5,86
secenans;47,55;6,57
rigney;47,39;6,18
seveux motey;47,53;5,77
rosieres sur barbeche;47,32;6,66
thieffrans;47,51;6,3
rougemont;47,48;6,35
vadans;47,35;5,58
rougemont;47,48;6,35
la vaivre;47,91;6,37
ruffey le chateau;47,28;5,8
le val de gouhenans;47,62;6,49
ste colombe;46,87;6,28
vantoux et longevelle;47,45;5,84
st hippolyte;47,31;6,81
vars;47,54;5,52
st julien les russey;47,22;6,73
velesmes echevanne;47,42;5,69
st vit;47,19;5,82
velet;47,43;5,57
saone;47,21;6,11
vellefrie;47,7;6,22
scey maisieres;47,11;6,08
velorcey;47,78;6,25
scey maisieres;47,11;6,08
venisey;47,84;6
soulce cernay;47,33;6,87
vereux;47,53;5,64
sourans;47,41;6,64
villers bouton;47,45;5,98
tarcenay foucherans;47,16;6,12
villers la ville;47,55;6,47
thurey le mont;47,38;6,14
villers le sec;47,58;6,24
tressandans;47,5;6,34
villers pater;47,47;6,17
valdahon;47,16;6,33
voray sur l ognon;47,35;6,01
velesmes essarts;47,19;5,87
vyans le val;47,55;6,76
vellevans;47,31;6,5
vy le ferroux;47,59;5,97
vercel villedieu le camp;47,19;6,38
vy les filain;47,51;6,2
viethorey;47,42;6,42
anost;47,08;4,09
authumes;46,89;5,31
auxy;46,94;4,42
bellevesvre;46,85;5,36
bois ste marie;46,33;4,35
bourg le comte;46,31;3,98
bragny sur saone;46,92;5,03
briant;46,3;4,15
bussieres;46,33;4,71
chambilly;46,28;4
chamilly;46,87;4,68
champagnat;46,48;5,37
chanes;46,24;4,76
la chapelle sous brancion;46,56;4,79
la chapelle sous dun;46,26;4,3
charmoy;46,77;4,32
charolles;46,45;4,28
chatenoy en bresse;46,79;4,91
chaudenay;46,91;4,79
chiddes;46,46;4,51
chissey les macon;46,52;4,74
ciry le noble;46,6;4,3
villars sous dampjoux;47,36;6,75
cormatin;46,54;4,7
villers chief;47,22;6,44
cortambert;46,47;4,7
vuillafans;47,06;6,22
cressy sur somme;46,7;3,87
vuillecin;46,95;6,33
curbigny;46,31;4,32
cuzy;46,76;4,03
damerey;46,83;4,99
dampierre en bresse;46,83;5,2
diconne;46,78;5,12
digoin;46,49;4,03
digoin;46,49;4,03
dompierre les ormes;46,35;4,48
donzy le pertuis;46,45;4,72
dracy st loup;47,01;4,34
farges les macon;46,51;4,91
fontaines;46,85;4,78
fragnes la loyere;46,84;4,84
frontenard;46,9;5,16
genelard;46,58;4,25
genouilly;46,65;4,57
givry;46,77;4,75
la grande verriere;46,97;4,14
laizy;46,91;4,18
lesme;46,65;3,72
lux;46,75;4,86
marcigny;46,28;4,04
marcilly la gueurce;46,4;4,3
martigny le comte;46,54;4,33
montceaux ragny;46,62;4,84
montchanin;46,75;4,47
montmort;46,74;4,1
mont st vincent;46,65;4,49
mornay;46,5;4,38
moroges;46,75;4,67
mouthier en bresse;46,86;5,38
oudry;46,58;4,17
palinges;46,55;4,21
poisson;46,38;4,13
pourlans;46,96;5,24
prety;46,54;4,96
prisse;46,32;4,75
ratte;46,64;5,31
rully;46,87;4,75
sailly;46,53;4,56
st bonnet de vieille vigne;46,53;4,27
ste foy;46,28;4,13
st germain du plain;46,69;4,98
st germain les buxy;46,7;4,77
aillevans;47,59;6,42
st igny de roche;46,19;4,3
aillevillers et lyaumont;47,94;6,33
st leger les paray;46,48;4,12
aisey et richecourt;47,89;5,96
st leger sur dheune;46,84;4,64
amance;47,79;6,05
st loup geanges;46,94;4,91
anchenoncourt et chazel;47,86;6,12
st loup de varennes;46,72;4,85
andelarre;47,59;6,09
st martin belle roche;46,38;4,85
angirey;47,46;5,77
st martin de lixy;46,2;4,24
autet;47,54;5,7
st martin du tartre;46,65;4,61
avrigney virey;47,34;5,78
st martin en gatinois;46,94;5,01
battrans;47,43;5,64
st pierre de varennes;46,85;4,51
beaumotte aubertans;47,43;6,16
ste radegonde;46,69;4,08
beaumotte aubertans;47,43;6,16
st usuge;46,69;5,24
betaucourt;47,87;5,92
st vincent en bresse;46,67;5,06
bougnon;47,7;6,11
st vincent bragny;46,53;4,13
boult;47,38;6
salornay sur guye;46,52;4,6
boursieres;47,61;6,04
sance;46,34;4,84
breurey les faverney;47,74;6,15
sassangy;46,72;4,64
brevilliers;47,58;6,8
savianges;46,69;4,6
briaucourt;47,82;6,25
savigny en revermont;46,63;5,39
brotte les ray;47,61;5,74
la celle en morvan;47,01;4,18
broye aubigney montseugny;47,33;5,52
sens sur seille;46,75;5,31
brussey;47,31;5,81
simandre;46,61;4,99
chalonvillars;47,64;6,78
simard;46,72;5,18
chambornay les pin;47,34;5,91
sommant;47,05;4,21
champagney;47,7;6,69
sornay;46,62;5,17
champey;47,59;6,68
tancon;46,2;4,27
champlitte;47,63;5,51
tavernay;47,01;4,24
la chapelle st quillain;47,49;5,82
trivy;46,39;4,49
chevigney;47,33;5,59
varennes st sauveur;46,5;5,24
cintrey;47,75;5,75
vergisson;46,31;4,71
cordonnet;47,42;5,96
le villars;46,53;4,92
corre;47,92;5,99
la vineuse sur fregande;46,47;4,59
courchaton;47,51;6,55
la vineuse sur fregande;46,47;4,59
courtesoult et gatey;47,61;5,61
viry;46,47;4,34
creveney;47,68;6,29
vitry en charollais;46,46;4,06
cubry les faverney;47,82;6,13
volesvres;46,47;4,17
cuve;47,91;6,22
dambenoit les colombe;47,72;6,38
dampierre sur linotte;47,53;6,24
la demie;47,58;6,17
essertenne et cecey;47,4;5,47
fallon;47,51;6,48
faverney;47,77;6,08
les fessey;47,81;6,52
fontenois la ville;47,94;6,18
fougerolles st valbert;47,9;6,41
fouvent st andoche;47,65;5,67
genevreuille;47,68;6,38
germigney;47,37;5,53
girefontaine;47,9;6,17
gray;47,43;5,61
jussey;47,82;5,89
lievans;47,64;6,35
lomont;47,63;6,6
la longine;47,9;6,58
loulans verchamp;47,45;6,2
loulans verchamp;47,45;6,2
magnoncourt;47,9;6,29
les magny;47,53;6,44
mandrevillars;47,62;6,77
la montagne;47,92;6,59
montboillon;47,38;5,91
montbozon;47,46;6,26
la roche morey;47,69;5,75
la neuvelle les scey;47,7;5,94
noidans les vesoul;47,61;6,12
noroy le bourg;47,6;6,29
oigney;47,76;5,85
ormenans;47,46;6,21
ovanches;47,63;5,96
plainemont;47,85;6,22
la proiseliere et langle;47,81;6,49
pusey;47,65;6,12
la grande resie;47,34;5,56
rosey;47,56;6,02
ruhans;47,46;6,14
st loup nantouard;47,43;5,73
st loup sur semouse;47,88;6,27
st sauveur;47,8;6,39
saulx;47,69;6,28
semmadon;47,74;5,88
senargent mignafans;47,57;6,53
servance miellin;47,82;6,7
sornay;47,28;5,7
theuley;47,62;5,82
traves;47,61;5,96
vallerois lorioz;47,56;6,15
vanne;47,6;5,85
vauchoux;47,66;6,03
vellechevreux et courbenans;47,54;6,54
vellefrey et vellefrange;47,44;5,81
vellexon queutrey et vaudey;47,55;5,81
venere;47,36;5,68
vernois sur mance;47,84;5,78
villafans;47,58;6,48
villars le pautel;47,9;5,92
la villeneuve bellenoye la maize;47,71;6,24
villers les luxeuil;47,77;6,28
villers sur saulnot;47,55;6,65
visoncourt;47,75;6,3
volon;47,63;5,74
vy les rupt;47,64;5,89
amanze;46,33;4,24
anglure sous dun;46,24;4,37
artaix;46,25;3,99
barizey;46,79;4,67
baudrieres;46,67;5
beauvernois;46,84;5,44
bergesserin;46,4;4,56
bissy sous uxelles;46,57;4,73
les bizots;46,75;4,38
bourbon lancy;46,62;3,77
boyer;46,6;4,9
bray;46,5;4,71
brienne;46,56;5,02
broye;46,89;4,31
buffieres;46,43;4,54
buxy;46,71;4,71
chagny;46,9;4,77
changy;46,41;4,25
la chapelle de bragny;46,62;4,76
la chapelle de guinchay;46,22;4,76
la chapelle st sauveur;46,85;5,26
la chapelle sous uchon;46,84;4,24
chardonnay;46,51;4,85
chassy;46,58;4,11
chateau;46,42;4,59
chateauneuf;46,21;4,26
chatel moron;46,79;4,64
chauffailles;46,21;4,34
chenay le chatel;46,23;3,94
chenoves;46,67;4,7
la clayette;46,29;4,31
navour sur grosne;46,36;4,57
navour sur grosne;46,36;4,57
collonge la madeleine;46,94;4,53
colombier en brionnais;46,35;4,33
couches;46,87;4,56
crissey;46,82;4,88
cronat;46,72;3,71
curgy;46,99;4,38
cussy en morvan;47,09;4,16
davaye;46,3;4,75
ecuisses;46,76;4,52
etang sur arroux;46,86;4,18
farges les chalon;46,83;4,81
flagy;46,49;4,64
fragnes la loyere;46,84;4,84
gigny sur saone;46,65;4,94
grevilly;46,51;4,82
igornay;47,06;4,38
jalogny;46,41;4,64
jugy;46,6;4,86
laize;46,38;4,8
lays sur le doubs;46,92;5,24
lournand;46,46;4,65
marmagne;46,84;4,37
martailly les brancion;46,53;4,8
mervans;46,79;5,18
milly lamartine;46,35;4,7
mont;46,63;3,83
montceau les mines;46,68;4,35
montpont en bresse;46,54;5,17
montret;46,68;5,11
oslon;46,78;4,94
ouroux sous le bois ste marie;46,36;4,31
paray le monial;46,44;4,11
pierre de bresse;46,88;5,25
le planois;46,79;5,32
prizy;46,35;4,22
remigny;46,91;4,73
romaneche thorins;46,19;4,74
sagy;46,59;5,32
st agnan;46,51;3,89
st ambreuil;46,68;4,82
st denis de vaux;46,79;4,7
st desert;46,76;4,71
st edmond;46,2;4,21
st eugene;46,73;4,22
st forgeot;47;4,29
st gengoux le national;46,61;4,66
st germain en brionnais;46,35;4,25
st jean de trezy;46,84;4,59
st leger sous beuvray;46,92;4,09
st loup geanges;46,94;4,91
st martin d auxy;46,72;4,55
st martin de commune;46,9;4,52
st martin du lac;46,25;4,06
st martin du mont;46,62;5,29
st martin en bresse;46,8;5,06
st maurice des champs;46,62;4,63
st nizier sur arroux;46,81;4,16
st prive;46,7;4,57
st racho;46,26;4,37
st remy;46,76;4,82
st verand;46,25;4,73
st vincent bragny;46,53;4,13
st ythaire;46,57;4,6
sercy;46,6;4,69
serrieres;46,31;4,67
thil sur arroux;46,8;4,09
thurey;46,74;5,13
tintry;46,93;4,49
torcy;46,77;4,45
toulon sur arroux;46,68;4,15
tournus;46,57;4,9
tramayes;46,31;4,6
la truchere;46,52;4,96
varennes le grand;46,71;4,88
varennes sous dun;46,28;4,34
verissey;46,71;5,13
vers;46,58;4,86
villeneuve en montagne;46,76;4,59
la vineuse sur fregande;46,47;4,59
vire;46,44;4,85
achey;47,58;5,61
ailloncourt;47,76;6,39
amoncourt;47,73;6,06
amont et effreney;47,87;6,56
andelarrot;47,58;6,1
andornay;47,66;6,6
athesans etroitefontaine;47,59;6,52
authoison;47,49;6,14
autrey les gray;47,46;5,47
autrey le vay;47,54;6,4
baignes;47,58;6,05
barges;47,87;5,84
la basse vaivre;47,95;6,06
baulay;47,79;6,02
bay;47,29;5,71
besnans;47,45;6,25
beulotte st laurent;47,87;6,67
blondefontaine;47,89;5,87
bourbevelle;47,91;5,95
bresilley;47,26;5,63
buffignecourt;47,81;6,02
buthiers;47,36;6,03
calmoutier;47,64;6,28
cerre les noroy;47,59;6,32
chagey;47,62;6,74
chambornay les bellevaux;47,4;6,1
champlitte;47,63;5,51
chantes;47,62;5,93
chaux les port;47,72;6,05
chemilly;47,64;6,02
citers;47,75;6,42
clairegoutte;47,66;6,64
coisevaux;47,59;6,71
comberjon;47,64;6,2
conflandey;47,73;6,03
confracourt;47,67;5,89
cornot;47,69;5,84
dampierre sur linotte;47,53;6,24
dampvalley les colombe;47,63;6,25
ecromagny;47,79;6,56
ecuelle;47,55;5,55
errevet;47,69;6,77
esboz brest;47,8;6,44
esmoulins;47,41;5,56
etobon;47,64;6,68
etrelles et la montbleuse;47,47;5,86
fahy les autrey;47,51;5,48
flagy;47,7;6,19
fondremand;47,47;6,03
fouchecourt;47,79;5,99
fougerolles st valbert;47,9;6,41
fouvent st andoche;47,65;5,67
frahier et chatebier;47,66;6,75
framont;47,57;5,58
frederic fontaine;47,65;6,63
fresne st mames;47,55;5,86
froideconche;47,83;6,42
frotey les lure;47,66;6,55
granges le bourg;47,58;6,59
lantenot;47,76;6,5
la lanterne et les armonts;47,79;6,53
lavigney;47,71;5,8
lavoncourt;47,62;5,78
lieucourt;47,36;5,62
longevelle;47,59;6,45
luxeuil les bains;47,82;6,36
lyoffans;47,64;6,59
magnivray;47,78;6,46
mailleroncourt charette;47,73;6,27
mailley et chazelot;47,53;6,05
maizieres;47,5;6,01
malvillers;47,74;5,79
marast;47,56;6,38
marnay;47,3;5,77
melisey;47,76;6,56
menoux;47,81;6,1
meurcourt;47,77;6,24
montessaux;47,74;6,57
montigny les vesoul;47,64;6,07
mont le vernois;47,6;6,06
la roche morey;47,69;5,75
neurey les la demie;47,56;6,2
neuvelle les cromary;47,41;6,07
la neuvelle les lure;47,72;6,55
noidans le ferroux;47,57;5,95
noiron;47,38;5,63
onay;47,39;5,69
oppenans;47,58;6,38
oricourt;47,6;6,39
ormoy;47,89;5,99
passavant la rochere;47,98;6,06
pennesieres;47,5;6,1
percey le grand;47,62;5,4
plancher bas;47,72;6,74
pontcey;47,63;6,03
la romaine;47,54;5,9
pont sur l ognon;47,52;6,39
preigney;47,77;5,78
pusy et epenoux;47,67;6,15
la quarte;47,77;5,7
recologne les ray;47,58;5,77
ste marie en chaux;47,8;6,3
st remy en comte;47,84;6,11
sauvigney les gray;47,46;5,73
scye;47,66;6,06
selles;47,97;6,09
senoncourt;47,84;6,06
soing cubry charentenay;47,59;5,89
ternuay melay et st hilaire;47,8;6,63
thienans;47,47;6,28
tremoins;47,56;6,7
vaite;47,58;5,71
vaivre et montoille;47,63;6,11
vallerois le bois;47,55;6,3
varogne;47,72;6,21
vauconcourt nervezain;47,66;5,83
velleclaire;47,43;5,87
vellefaux;47,55;6,14
velleguindry et levrecey;47,56;6,09
velleminfroy;47,66;6,32
villargent;47,54;6,48
villefrancon;47,41;5,74
vilory;47,73;6,22
vougecourt;47,94;5,99
l abergement de cuisery;46,58;4,96
allerey sur saone;46,91;4,97
aluze;46,85;4,69
aze;46,43;4,75
ballore;46,53;4,38
baudemont;46,29;4,28
baugy;46,31;4,03
beaumont sur grosne;46,67;4,86
bergesserin;46,4;4,56
bissey sous cruchaud;46,73;4,69
blanzy;46,7;4,39
bosjean;46,77;5,35
branges;46,65;5,16
bruailles;46,6;5,26
burgy;46,46;4,83
burnand;46,6;4,63
ceron;46,28;3,94
chaintre;46,26;4,77
la chapelle de guinchay;46,22;4,76
la chapelle thecle;46,56;5,1
charette varennes;46,9;5,2
la charmee;46,72;4,8
charnay les chalon;46,93;5,08
charnay les macon;46,3;4,79
charrecey;46,84;4,67
chatenoy le royal;46,79;4,81
cheilly les maranges;46,89;4,67
cherizet;46,52;4,57
chissey en morvan;47,12;4,21
ciel;46,87;5,05
clessy;46,56;4,09
la comelle;46,88;4,12
condal;46,46;5,28
le creusot;46,81;4,43
cruzille;46,51;4,79
curtil sous buffieres;46,4;4,53
demigny;46,91;4,85
dettey;46,77;4,19
devrouze;46,76;5,17
dyo;46,36;4,28
ecuelles;46,95;5,07
epertully;46,94;4,6
epinac;46,99;4,52
etrigny;46,59;4,79
fretterans;46,92;5,29
germolles sur grosne;46,28;4,6
granges;46,74;4,75
hurigny;46,34;4,8
iguerande;46,22;4,08
lessard en bresse;46,74;5,08
longepierre;46,93;5,2
louhans;46,64;5,24
macon;46,32;4,82
macon;46,32;4,82
macon;46,32;4,82
macon;46,32;4,82
maltat;46,68;3,81
mancey;46,57;4,85
marly sous issy;46,73;3,93
marly sur arroux;46,62;4,13
marnay;46,7;4,93
mary;46,61;4,5
matour;46,31;4,48
mellecey;46,81;4,76
messey sur grosne;46,65;4,75
mesvres;46,87;4,25
montbellet;46,47;4,88
montcoy;46,8;5
monthelon;46,96;4,22
montjay;46,81;5,3
nochize;46,4;4,17
passy;46,54;4,54
ratenelle;46,52;5
la roche vineuse;46,35;4,75
roussillon en morvan;47,02;4,1
st albain;46,42;4,87
st andre en bresse;46,65;5,09
st aubin sur loire;46,57;3,76
st berain sur dheune;46,82;4,61
ste cecile;46,39;4,63
st christophe en bresse;46,75;4,99
