label;latitude;longitude
montrond;46,79;5,84
morbier;46,56;6,02
mournans charbonny;46,78;5,99
les moussieres;46,33;5,87
moutoux;46,79;5,94
les trois chateaux;46,42;5,36
nancuise;46,47;5,53
les nans;46,79;5,97
nevy les dole;47;5,52
nevy sur seille;46,74;5,64
offlanges;47,2;5,56
onoz;46,45;5,66
orgelet;46,52;5,6
pagney;47,25;5,7
passenans;46,8;5,62
peseux;46,99;5,37
picarreau;46,75;5,76
plasne;46,79;5,69
poids de fiole;46,59;5,62
poligny;46,82;5,77
pont du navoy;46,73;5,79
rahon;46,99;5,47
rotalier;46,58;5,48
rothonay;46,52;5,53
rouffange;47,23;5,71
les rousses;46,5;6,07
les rousses;46,5;6,07
ste agnes;46,61;5,47
st claude;46,41;5,88
st cyr montmalin;46,96;5,72
st didier;46,71;5,51
val suran;46,39;5,44
val suran;46,39;5,44
coteaux du lizon;46,41;5,8
st maur;46,61;5,6
st maurice crillat;46,57;5,83
salans;47,16;5,79
santans;47,04;5,67
sarrogna;46,47;5,62
songeson;46,65;5,83
soucia;46,54;5,76
souvans;46,98;5,55
tassenieres;46,92;5,51
la tour du meix;46,52;5,66
trenal;46,64;5,46
verges;46,66;5,68
villerserine;46,86;5,64
villette les arbois;46,93;5,74
le villey;46,85;5,51
val sonnette;46,6;5,46
val sonnette;46,6;5,46
vincent froideville;46,79;5,48
vosbles valfin;46,35;5,52
anlezy;46,97;3,5
anthien;47,31;3,72
arleuf;47,04;4,02
asnan;47,31;3,55
aunay en bazois;47,12;3,72
biches;46,99;3,65
billy chevannes;47,01;3,46
blismes;47,12;3,82
breves;47,43;3,62
challuy;46,94;3,14
champlin;47,24;3,45
champvert;46,85;3,52
chaumot;47,25;3,64
colmery;47,35;3,25
corbigny;47,26;3,69
cossaye;46,76;3,51
dirol;47,32;3,64
dommartin;47,07;3,85
empury;47,35;3,82
epiry;47,17;3,73
garchizy;47,04;3,09
lamenay sur loire;46,75;3,57
lormes;47,29;3,83
lucenay les aix;46,7;3,49
la machine;46,89;3,46
mesves sur loire;47,23;3
metz le comte;47,39;3,64
mhere;47,19;3,86
moissy moulinot;47,33;3,71
montaron;46,88;3,75
montigny aux amognes;47,03;3,28
montsauche les settons;47,21;4,03
moussy;47,2;3,46
neuvy sur loire;47,53;2,89
parigny les vaux;47,1;3,15
perroy;47,4;3,16
pougny;47,39;3,02
raveau;47,18;3,12
rix;47,43;3,5
rouy;47,04;3,54
saincaize meauce;46,91;3,09
st amand en puisaye;47,55;3,08
st andelain;47,31;2,98
st aubin les forges;47,14;3,19
st benin d azy;47;3,4
st brisson;47,27;4,1
ste colombe des bois;47,32;3,15
st didier;47,35;3,62
st germain des bois;47,37;3,52
st hilaire en morvan;47,07;3,89
st martin d heuille;47,05;3,23
st parize le chatel;46,85;3,18
st pereuse;47,06;3,81
st pierre du mont;47,4;3,45
st saulge;47,1;3,52
saizy;47,36;3,7
sauvigny les bois;46,98;3,27
savigny poil fol;46,78;3,83
sermages;47,01;3,84
sougy sur loire;46,86;3,41
taconnay;47,31;3,49
tamnay en bazois;47,05;3,72
ternant;46,75;3,85
tintury;47;3,59
tracy sur loire;47,33;2,91
trois vevres;46,91;3,42
varennes vauzelles;47,04;3,14
vauclaix;47,23;3,82
villapourcon;46,94;3,96
villiers le sec;47,38;3,44
abergement la ronce;47,06;5,38
aiglepierre;46,96;5,81
andelot en montagne;46,86;5,93
annoire;46,96;5,28
arbois;46,89;5,77
ardon;46,77;5,88
arinthod;46,39;5,58
les arsures;46,95;5,78
la chailleuse;46,58;5,53
augea;46,56;5,39
augisey;46,55;5,5
authume;47,13;5,51
baresia sur l ain;46,54;5,7
bersaillin;46,86;5,6
bief du fourg;46,82;6,12
bletterans;46,73;5,43
boissia;46,58;5,72
brainans;46,87;5,63
cernans;46,93;5,94
cesancey;46,62;5,49
chamblay;46,99;5,7
champagney;47,26;5,5
champagnole;46,74;5,9
champdivers;47,01;5,39
champrougier;46,88;5,51
la chassagne;46,87;5,46
chatel de joux;46,53;5,81
la chaumusse;46,6;5,94
chaux des crotenay;46,66;5,96
nanchez;46,5;5,86
st hymetiere sur valouse;46,35;5,57
st hymetiere sur valouse;46,35;5,57
st hymetiere sur valouse;46,35;5,57
chevreaux;46,5;5,43
chevrotaine;46,65;5,86
choux;46,3;5,77
courbette;46,6;5,57
crans;46,7;5,98
cressia;46,53;5,48
darbonnay;46,83;5,61
desnes;46,77;5,47
domblans;46,77;5,59
ecrille;46,5;5,63
val d epy;46,39;5,4
val d epy;46,39;5,4
l etoile;46,72;5,53
falletans;47,08;5,57
fay en montagne;46,75;5,72
la ferte;46,94;5,65
fontenu;46,67;5,81
fraroz;46,73;6,1
frontenay;46,79;5,63
gigny;46,45;5,47
grande riviere chateau;46,53;5,91
les hays;46,91;5,39
ivory;46,9;5,85
larrivoire;46,34;5,79
lect;46,39;5,67
valzin en petite montagne;46,43;5,59
longchaumois;46,46;5,96
lons le saunier;46,67;5,56
malange;47,18;5,61
mantry;46,79;5,56
marigna sur valouse;46,45;5,53
marigny;46,68;5,78
mathenay;46,93;5,68
mesnois;46,59;5,68
messia sur sorne;46,66;5,52
mieges;46,79;6,05
mieges;46,79;6,05
mignovillard;46,78;6,14
moissey;47,19;5,53
chassal molinges;46,36;5,78
monnetay;46,46;5,51
montain;46,72;5,58
morbier;46,56;6,02
hauts de bienne;46,51;6
mouchard;46,98;5,79
moutonne;46,53;5,57
les trois chateaux;46,42;5,36
nance;46,75;5,42
neublans abergement;46,9;5,34
nozeroy;46,77;6,04
orgelet;46,52;5,6
our;47,11;5,65
le pasquier;46,8;5,9
patornay;46,59;5,71
peintre;47,2;5,47
pimorin;46,5;5,5
