libelle;longitude;latitude;code_commune_station;libelle_commune
La rivière de l'Anse Céron au Prêcheur;-61.225533373;14.831497784;97219;PRECHEUR
La Grande Rivière à Grand'Rivière [Bourg Grand Rivière];-61.178256371;14.873158238;97211;GRAND'RIVIERE
La Grande Rivière à Grand'Rivière [Bourg Grand Rivière];-61.178256371;14.873158238;97211;GRAND'RIVIERE
La rivière Capot au Morne-Rouge [Mackintosh];-61.11098285;14.776624396;97218;MORNE-ROUGE
La rivière Capot au Lorrain [Saut Babin];-61.106495975;14.812058121;97214;LORRAIN
La rivière Capot au Lorrain [Vivé-capot];-61.096447645;14.831861995;97214;LORRAIN
La rivière Pirogue au Lorrain [Pont Desgrottes];-61.101868228;14.804790393;97214;LORRAIN
La rivière du Lorrain au Lorrain [SCNA];-61.055504668;14.788161638;97214;LORRAIN
La rivière du Lorrain au Lorrain [confluence Pirogue];-61.059176417;14.779809287;97214;LORRAIN
La rivière du Lorrain au Lorrain [Pont de la Pirogue];-61.057075397;14.796735688;97214;LORRAIN
La rivière de Bezaudin à Sainte-Marie [Sainte-Marie];-61.006936513;14.773034836;97228;SAINTE-MARIE
La rivière du Galion Bras Gommier Percé à Gros-Morne [Bras-Gommier];-61.037961962;14.730869121;97212;GROS-MORNE
La rivière du Galion à la Trinité [Grand Galion];-60.960337268;14.717007964;97230;TRINITE
La rivière du Galion à la Trinité [Bassignac];-60.98797774;14.730483451;97230;TRINITE
La rivière du Galion à la Trinité [bassignac];-60.981706085;14.729521489;97230;TRINITE
La rivière Dumauzé à Fort-de-France [Didier];-61.09286828;14.6616867;97209;FORT-DE-FRANCE
La rivière Dumauzé à Fort-de-France [Absalon];-61.097490855;14.676753304;97209;FORT-DE-FRANCE
La rivière Case-Navire à Schœlcher [Anse Madame];-61.100287937;14.618484551;97229;SCH≈íLCHER
La rivière Case-Navire à Schœlcher [Fond Rousseau];-61.097887359;14.626501082;97229;SCH≈íLCHER
La rivière Case-Navire à Schœlcher [case navire];-61.100055406;14.617853328;97229;SCH≈íLCHER
La rivière du Carbet à Fonds-Saint-Denis [fond mascret];-61.141301418;14.729517849;97208;FONDS-SAINT-DENIS
La rivière du Carbet au Carbet [Fond Baise];-61.169082937;14.714960626;97204;CARBET
La Roxelane à Saint-Pierre [Pecoul];-61.163459122;14.757457549;97225;SAINT-PIERRE
La Roxelane à Saint-Pierre [Bourg Saint Pierre];-61.176308059;14.749127233;97225;SAINT-PIERRE
La rivière du Longvilliers au Lamentin [Baleu];-61.016305292;14.648854081;97213;LAMENTIN
La Gondeau au Lamentin [Pont de Gondeau];-61.023931232;14.632474171;97213;LAMENTIN
La Jambette à Fort-de-France [Jambette];-61.034979423;14.632967635;97209;FORT-DE-FRANCE
La rivière Madame à Fort-de-France [Pont de Chaine];-61.071269419;14.61689841;97209;FORT-DE-FRANCE
La rivière Madame à Fort-de-France [Pont de Chaine];-61.071269419;14.61689841;97209;FORT-DE-FRANCE
La rivière Madame à Fort-de-France [Pont de la Cartonnerie];-61.072165027;14.615273483;97209;FORT-DE-FRANCE
La Lézarde à Gros-Morne [Palourde];-61.048843648;14.716331664;97212;GROS-MORNE
La Lézarde à Gros-Morne [Lézarde 2];-61.033428439;14.709559449;97212;GROS-MORNE
La Lézarde à Gros-Morne [rd-15-b- Lezarde];-61.026200998;14.703380604;97212;GROS-MORNE
La Lézarde à Gros-Morne [Tronc commun];-61.022531224;14.700649554;97212;GROS-MORNE
La rivière Petite Lézarde à Gros-Morne [Saint Maurice];-60.993689841;14.675951231;97212;GROS-MORNE
La rivière Blanche à Fort-de-France [Pont de l'Alma];-61.09254523;14.704929928;97209;FORT-DE-FRANCE
La rivière Blanche à Fort-de-France [Alma];-61.093952971;14.705769475;97209;FORT-DE-FRANCE
La rivière Blanche à Saint-Joseph [Bouliki];-61.073444949;14.702960368;97224;SAINT-JOSEPH
La rivière Blanche à Saint-Joseph [Bouliki aval];-61.068678697;14.69963084;97224;SAINT-JOSEPH
La rivière Blanche à Saint-Joseph [aval prise SICSM];-61.03554371;14.68061176;97224;SAINT-JOSEPH
La rivière Blanche à Saint-Joseph [aval prise SICSM];-61.03554371;14.68061176;97224;SAINT-JOSEPH
La rivière Blanche à Saint-Joseph [pt-de-riv-blanche];-61.044226351;14.685145736;97224;SAINT-JOSEPH
La rivière Blanche à Saint-Joseph [Fond Ferret];-61.022964534;14.675805438;97224;SAINT-JOSEPH
La Lézarde au Lamentin [Pont RN 1];-60.985489727;14.62517646;97213;LAMENTIN
La Lézarde au Lamentin [Pont RN 1];-60.985489727;14.62517646;97213;LAMENTIN
La Lézarde au Lamentin [Pont de Mare];-60.998352278;14.651647472;97213;LAMENTIN
La Lézarde au Lamentin [Pont du Soudon];-60.993999657;14.645465054;97213;LAMENTIN
La Lézarde au Lamentin [Gué de la Désirade];-60.995933352;14.666436069;97213;LAMENTIN
au Lamentin [cote 45];-60.965244359;14.643588774;97213;LAMENTIN
La Petite Rivière au Lamentin [Brasserie Lorraine];-60.97419328;14.625094369;97213;LAMENTIN
La Petite Rivière au Lamentin [Brasserie Lorraine];-60.97419328;14.625094369;97213;LAMENTIN
La Lézarde au Lamentin [Ressource];-60.987499011;14.611799759;;
[Canal Mamin] au Lamentin;-60.994998202;14.617685939;97213;LAMENTIN
La Lézarde au Lamentin [pt-Spitz];-60.998224292;14.605747482;97213;LAMENTIN
La rivière Caleçon au Lamentin [Caleçon];-60.962681039;14.613689172;97213;LAMENTIN
La rivière Caleçon au Lamentin [Gaigneron RD];-60.99753845;14.604004971;97213;LAMENTIN
La rivière Caleçon au Lamentin [Autoroute];-61.004323585;14.599954616;97213;LAMENTIN
La ravine Gaschette au Robert [Gaschette];-60.940031396;14.688732455;97222;ROBERT
La rivière Desroses au François [Belle-ame];-60.919731401;14.613149785;97210;FRANCOIS
La rivière Desroses au François [Pont- Martienne];-60.909463185;14.616384816;97210;FRANCOIS
La rivière Deux Courants au François [Séraphin];-60.902648296;14.61368096;97210;FRANCOIS
La rivière du Simon au François [Fontane2];-60.876715582;14.583676836;97210;FRANCOIS
La rivière du Simon au François [Fontane];-60.880462383;14.580573212;97210;FRANCOIS
La rivière de Paquemar au Vauclin [Morne Jalouse];-60.850910104;14.518406682;97232;VAUCLIN
La rivière Massel au Marin [Puyferrat - Pont RN 6];-60.852992932;14.501105405;97217;MARIN
Le Crêve Cœur à Sainte-Anne [cote 10];-60.853616487;14.449215372;97226;SAINTE-ANNE
La rivière les Coulisses à Saint-Esprit [pont-secours];-60.937987677;14.562362799;97223;SAINT-ESPRIT
La rivière les Coulisses à Rivière-Salée [Petit-Bourg];-60.960058505;14.547599077;97221;RIVIERE-SALEE
La rivière les Coulisses à Rivière-Salée [Petit-Bourg];-60.960058505;14.547599077;97221;RIVIERE-SALEE
La rivière de Trenelle à Rivière-Salée [Habitation Boulevard];-60.964644448;14.527102542;97221;RIVIERE-SALEE
La rivière l'Abandon à Rivière-Salée [Pont Violon - RN 5];-60.98144987;14.534648901;97221;RIVIERE-SALEE
La ravine de la Laugier à Rivière-Salée [Laugier];-60.977396267;14.52424337;97221;RIVIERE-SALEE
Le ravin Médecin à Rivière-Salée [Médecin];-60.983282868;14.524137738;97221;RIVIERE-SALEE
La rivière la Manche à Ducos [Pont RN 7];-60.964891696;14.564889911;97207;DUCOS
La Petite Rivière Pilote à Rivière-Pilote [Madeleine];-60.904818828;14.496114205;97220;RIVIERE-PILOTE
La Petite Rivière Pilote à Rivière-Pilote [Pomponne];-60.903969933;14.484987307;97220;RIVIERE-PILOTE
La Grande Rivière Pilote à Rivière-Pilote [lescouet];-60.890072824;14.498893027;97220;RIVIERE-PILOTE
La rivière Oman à Sainte-Luce [Morne Lavison];-60.963652676;14.488462522;97227;SAINTE-LUCE
La rivière Oman à Sainte-Luce [Dormante];-60.961577974;14.486141542;97227;SAINTE-LUCE
Le fond Placide au Diamant [Petits Lézards];-61.031695201;14.487280205;97206;DIAMANT
Le Mro wa Gouloué à Mamoudzou [Passamainty];45.205680635;-12.800646373;97611;MAMOUDZOU
Le Mro wa Kwalé à Mamoudzou [Kwalé Station];45.185710871;-12.797179721;97611;MAMOUDZOU
Le Mro wa Mgombani à Koungou [Mgombani];45.178368783;-12.733667893;97610;KOUNGOU
Le Mro wa Tanabé à Bandraboua [Dzoumogné Retenue];45.106868127;-12.715276989;97602;BANDRABOUA
Le Mro wa Mjihari à Bandraboua [Dzoumogné Ouest];45.110914892;-12.722328785;97602;BANDRABOUA
Le Mro wa Mjihari à Bandraboua [Mapouéra];45.099822626;-12.717956433;97602;BANDRABOUA
[La Méresse] à Bandraboua;45.135569806;-12.732029374;97602;BANDRABOUA
Le Mro wa Mouhogoni à Bandraboua [Mouhogoni];45.116986292;-12.724668283;97602;BANDRABOUA
Le Mro wa Bouyouni à Bandraboua [Bouyouni Bas];45.140670399;-12.743791491;97602;BANDRABOUA
Le Mro wa Bouyouni à Tsingoni [Bouyouni Haut];45.148436832;-12.760561754;97617;TSINGONI
Le Mro wa Longoni à Koungou [Longoni];45.164894403;-12.73753793;97610;KOUNGOU
Le Mroni Boungoumouhé à M'Tsangamouji [Boungoumouhé];45.098430035;-12.761317582;97613;M'TSANGAMOUJI
Le Mro wa Chirini à Tsingoni [Soulou];45.106967053;-12.775430173;97617;TSINGONI
Le Mrowalé à Tsingoni [Mrowalé];45.110564284;-12.784688572;97617;TSINGONI
Le Mro wa Ourovéni à Tsingoni [Mouala];45.146913736;-12.771350726;97617;TSINGONI
Le Mro wa Ourovéni à Tsingoni [Ouroveni Pont];45.127685913;-12.808210302;97617;TSINGONI
Le Mro wa Coconi à Ouangani [Hapandzo];45.132076288;-12.834061555;97614;OUANGANI
Le Mroni Antanana à Kani-Kéli [Mronabéja];45.129723012;-12.97068984;97609;KANI-KELI
Le Mroni Bé à Bandrele [Bé Dapani];45.158037662;-12.968467768;97603;BANDRELE
Le Mro wa Dembéni à Dembeni [Dembéni Bas];45.177033542;-12.840129963;97607;DEMBENI
Le Mro wa Salim Bé à Dembeni [Salim Bé];45.19411718;-12.873241559;97607;DEMBENI
La rivière des Remparts [Bras Principal] à Saint-Joseph [Pont RN 2];55.615699903;-21.376618691;97412;SAINT-JOSEPH
La rivière des Remparts [Bras Principal] à Saint-Joseph [Pont RN 2];55.615654868;-21.375254291;97412;SAINT-JOSEPH
La rivière Langevin [Bras principal] à Saint-Joseph [Barrage];55.644621986;-21.340248013;97412;SAINT-JOSEPH
La rivière Langevin [Bras principal] à Saint-Joseph [Passerelle];55.643387787;-21.33902202;97412;SAINT-JOSEPH
La rivière Langevin [Bras principal] à Saint-Joseph;55.645672686;-21.381009615;97412;SAINT-JOSEPH
La rivière de l'Est [Bras Principal] à Sainte-Rose;55.721976963;-21.175188555;97419;SAINTE-ROSE
Le bras Noir à la Plaine-des-Palmistes;55.585693089;-21.143904766;97406;PLAINE-DES-PALMISTES
La rivière des Marsouins [Bras principal] à Saint-Benoît [Bethléem];55.679712956;-21.04147154;97410;SAINT-BENOIT
La rivière des Marsouins [Bras Principal] à Saint-Benoît [Centre-Ville];55.714487228;-21.035025937;97410;SAINT-BENOIT
La rivière des Roches [Bras Principal] à Saint-Benoît [Abondance];55.6599349;-21.035399628;97410;SAINT-BENOIT
La rivière des Roches [Bras Principal] à Saint-Benoît [Bassin La Paix];55.670555899;-21.023693915;97410;SAINT-BENOIT
La rivière Bras Panon à Bras-Panon [Aval radier Paniandy];55.663069594;-20.996786781;97402;BRAS-PANON
La rivière Bras Panon à Bras-Panon [Libéria];55.675198473;-21.003521471;97402;BRAS-PANON
La rivière du Mât [Bras Principal] à Salazie [Pont de l'Escalier];55.579492877;-20.998919379;97421;SALAZIE
La rivière du Mât [Bras Principal] à Salazie [Trou Blanc];55.493714767;-21.061325083;97421;SALAZIE
Le bras des Lianes à Bras-Panon [Amont cascade du Chien];55.61149735;-21.025986285;97402;BRAS-PANON
