libelle;longitude;latitude;code_commune_station;libelle_commune
La Seine à Rouen;1.071962329;49.443323326;76540;ROUEN
La Marne à Chaumont [Reclancourt];5.154544208;48.126355619;52121;CHAUMONT
La Marne à Condes;5.138012375;48.141464196;52141;CONDES
La Suize à Villiers-sur-Suize;5.186556599;47.987861186;52538;VILLIERS-SUR-SUIZE
La Suize à Chaumont [Saint-Roch];5.11957625;48.115719314;52121;CHAUMONT
Le Cailly à Cailly;1.222488609;49.57917109;76152;CAILLY
Le Cailly à Fontaine-le-Bourg [Grand-Tendos];1.127045462;49.561182595;76271;FONTAINE-LE-BOURG
Le Cailly à Notre-Dame-de-Bondeville;1.047183811;49.488418107;76474;NOTRE-DAME-DE-BONDEVILLE
Le Rognon à Bourdons-sur-Rognon [Lacrète];5.316249529;48.209601013;52061;BOURDONS-SUR-ROGNON
La Seine à Petit-Couronne;1.01184828;49.385761125;76497;PETIT-COURONNE
La Seine à la Bouille;0.928107796;49.353873234;76131;BOUILLE
La Seine à Mauny [Val-des-Leux];0.921635025;49.402452203;76419;MAUNY
La Seine à Duclair;0.874162641;49.480417535;76222;DUCLAIR
La Sueurre à Rimaucourt;5.36812077;48.24727098;52423;RIMAUCOURT
La Manoise à Humberville;5.378496515;48.28606646;52245;HUMBERVILLE
L'Austreberthe à Saint-Paër;0.92170892;49.518786829;76631;SAINT-PAER
L'Austreberthe à Duclair [Bas Aulnay];0.895933901;49.499057672;76222;DUCLAIR
Le Rognon à Doulaincourt-Saucourt;5.165229293;48.343832856;52177;DOULAINCOURT-SAUCOURT
[La vallée sèche] à Saint-Paër [Le Paulu];0.914052706;49.516551619;76631;SAINT-PAER
La Marne à Saint-Dizier;4.929910143;48.637486881;52448;SAINT-DIZIER
La Marne à Saint-Dizier;4.953179654;48.632770713;52448;SAINT-DIZIER
La Marne à Saint-Dizier;4.929910143;48.637486881;52448;SAINT-DIZIER
La Marne à Joinville;5.143338722;48.442816749;52250;JOINVILLE
La Marne à Chamouilley;5.040313905;48.606232323;52099;CHAMOUILLEY
La Marne à Mussey-sur-Marne;5.16109593;48.376003257;52346;MUSSEY-SUR-MARNE
La Blaise à Colombey-les-Deux-Églises;4.9591542;48.293763834;52140;COLOMBEY LES DEUX EGLISES
La Blaise à Louvemont [Pont-Varin];4.93071016;48.515805246;52294;LOUVEMONT
La Blaise à Louvemont [Pont-Varin];4.930715525;48.515808799;52294;LOUVEMONT
La Blaise à Daillancourt;4.957306889;48.302488463;52160;DAILLANCOURT
La Marne à Frignicourt;4.587473264;48.700911467;51262;FRIGNICOURT
La Marne à Frignicourt;4.587459406;48.700902655;51262;FRIGNICOURT
La Seine au Mesnil-sous-Jumièges;0.866920489;49.413143882;76436;MESNIL-SOUS-JUMIEGES
La Seine à Heurteauville;0.815662417;49.44805162;76362;HEURTEAUVILLE
La Saulx à Saudrupt;5.068390596;48.703176758;55470;SAUDRUPT
La Saulx à Mognéville;4.999611621;48.784962633;55340;MOGNEVILLE
La Saulx à Montiers-sur-Saulx;5.273665664;48.539909691;55348;MONTIERS-SUR-SAULX
L'Ornain à Saint-Joire;5.419361501;48.600535161;55459;SAINT-JOIRE
La Sainte-Gertrude [partielle] à Caudebec-en-Caux;0.726201742;49.525761562;76164;RIVES-EN-SEINE
L'Ambion à Caudebec-en-Caux;0.722275375;49.525535034;76164;RIVES-EN-SEINE
La Sainte-Gertrude à Maulévrier-Sainte-Gertrude;0.701638907;49.546256208;76418;MAULEVRIER-SAINTE-GERTRUDE
La Seine à Caudebec-en-Caux;0.714335675;49.523623425;76164;RIVES-EN-SEINE
La Seine à Vatteville-la-Rue;0.66924225;49.480353085;76727;VATTEVILLE-LA-RUE
La Seine à Aizier;0.624559942;49.432187794;27006;AIZIER
La Seine à Petiville [St-Léonard];0.54972265;49.46025345;76499;PETIVILLE
L'Ornain à Tronville-en-Barrois;5.282431972;48.721623855;55519;TRONVILLE-EN-BARROIS
L'Ornain à Fains-Véel et à Val-d'Ornain [Varney];5.128299031;48.795317133;55186;FAINS-VEEL
L'Ornain à Fains-Véel et à Val-d'Ornain [Varney];5.09941941;48.811644432;55366;VAL-D'ORNAIN
Le Commerce à Gruchet-le-Valasse;0.487740267;49.551779887;76329;GRUCHET-LE-VALASSE
Le Commerce à Lillebonne;0.532851018;49.516353138;76384;LILLEBONNE
Le Commerce à Lillebonne;0.536185766;49.504675589;76384;LILLEBONNE
Le Commerce à Lillebonne;0.536385658;49.509677196;76384;LILLEBONNE
La Seine à Tancarville;0.467192821;49.476890837;76684;TANCARVILLE
La Chée à Villotte-devant-Louppy [Villote devant Loupy];5.054106194;48.883727568;55569;VILLOTTE-DEVANT-LOUPPY
La Chée à Bettancourt-la-Longue;4.88493767;48.819222248;51057;BETTANCOURT-LA-LONGUE
La Vière à Val-de-Vière;4.758148243;48.801363235;51218;VAL-DE-VIERE
La Saulx à Vitry-en-Perthois;4.626324546;48.746151576;51647;VITRY-EN-PERTHOIS
La Bruxenelle à Brusson;4.697284774;48.74719693;51094;BRUSSON
La Marne à la Chaussée-sur-Marne;4.505038808;48.838972996;51141;CHAUSSEE-SUR-MARNE
La Marne à Châlons-en-Champagne;4.353723063;48.950951321;51108;CHALONS-EN-CHAMPAGNE
La Marne à Châlons-en-Champagne;4.353723063;48.950951321;51108;CHALONS-EN-CHAMPAGNE
La Marne à Châlons-en-Champagne;4.353723063;48.950951321;51108;CHALONS-EN-CHAMPAGNE
La Marne à Châlons-en-Champagne;4.353877678;48.951120456;51108;CHALONS-EN-CHAMPAGNE
La Marne [rivière] à Châlons-en-Champagne [avant 02/89];4.353723063;48.950951321;51108;CHALONS-EN-CHAMPAGNE
La Marne [débit dérivé] à Condé-sur-Marne [Châlons];4.175239181;49.04300701;51161;CONDE-SUR-MARNE
La Coole à Écury-sur-Coole;4.339680651;48.902011207;51227;ECURY-SUR-COOLE
La Soude à Soudron;4.202137901;48.838847923;51556;SOUDRON
Le Cubry à Pierry;3.947832916;49.026195819;51431;PIERRY
La Marne à Damery;3.860433237;49.070303942;51204;DAMERY
La Semoigne à Verneuil;3.674375861;49.093377654;51609;VERNEUIL
Le Surmelin à Mézy-Moulins;3.516276607;49.059983585;2484;MEZY-MOULINS
Le Petit Morin au Thoult-Trosnay;3.688472954;48.850614718;51570;THOULT-TROSNAY
La Savières à Longpont;3.234051638;49.275883468;2438;LONGPONT
L'Ourcq à Chouy;3.249307198;49.194286799;2192;CHOUY
La Risle à Échauffour et à Sainte-Gauburge-Sainte-Colombe [observateur];0.430946285;48.718036538;61150;ECHAUFFOUR
La Risle à Rai;0.581111758;48.748872899;61342;RAI
L'Aisne à Passavant-en-Argonne;4.970668023;49.019222018;51424;PASSAVANT-EN-ARGONNE
L'Aisne à Verrières;4.914314557;49.067920606;51610;VERRIERES
L'Ante à Châtrices;4.911758787;49.052428424;51138;CHATRICES
La Risle à Rugles [observateur];0.710239413;48.822095344;27502;RUGLES
L'Auve à Dommartin-Dampierre;4.823200291;49.067679056;51211;DOMMARTIN-DAMPIERRE
La Risle à Bosc-Renoult-en-Ouche;0.743674684;48.952759299;27088;BOSC-RENOULT-EN-OUCHE
La Risle à Grosley-sur-Risle;0.814920403;49.030154418;27300;GROSLEY-SUR-RISLE
La Biesme au Claon;4.969963963;49.142318091;55116;CLAON
Le Vernet à Glos-la-Ferrière;0.60340297;48.85876244;61191;GLOS-LA-FERRIERE
Le Val de Launay à Glos-la-Ferrière;0.594409425;48.85154597;61191;GLOS-LA-FERRIERE
La Risle à Ajou [amont bétoire];0.789022568;48.984918738;27007;AJOU
La Risle à Grosley-sur-Risle [aval bétoire];0.799839826;49.047068778;27300;GROSLEY-SUR-RISLE
La Risle à Barquet;0.808378297;49.034118991;27040;BARQUET
La Risle à Beaumontel;0.759834916;49.091746041;27050;BEAUMONTEL
La Charentonne à Bocquencé;0.482098513;48.848856556;61047;BOCQUENCE
L'Aire à Beausite [Amblaincourt];5.208425253;48.964104607;55040;BEAUSITE
La Charentonne à Mélicourt;0.503496819;48.914995837;27395;MELICOURT
La Guiel à Montreuil-l'Argillé;0.484394926;48.94500658;27414;MONTREUIL-L'ARGILLE
La Cousances à Aubréville;5.084979939;49.145758482;55014;AUBREVILLE
La Charentonne à la Trinité-de-Réville;0.516332369;48.978969852;27660;TRINITE-DE-REVILLE
La Charentonne à Broglie [observateur];0.53019788;49.007873999;27117;BROGLIE
La Charentonne à Ferrières-Saint-Hilaire;0.568641961;49.02415949;27239;FERRIERES-SAINT-HILAIRE
La Charentonne à Bernay;0.600698912;49.085282624;27056;BERNAY
L'Aire à Varennes-en-Argonne;5.034015724;49.227292139;55527;VARENNES-EN-ARGONNE
Le fossé d'assainissement à Granchain;0.665820968;49.041129296;27296;GRANCHAIN
La Charentonne à Bernay [observateur];0.600698912;49.085282624;27056;BERNAY
La Charentonne à Serquigny;0.71868221;49.109876041;27622;SERQUIGNY
La Charentonne à la Trinité-de-Réville;0.514854092;48.977810747;27660;TRINITE-DE-REVILLE
L'Agron à Champigneulle et à Verpel;4.930044169;49.351204539;8098;CHAMPIGNEULLE
L'Agron à Champigneulle et à Verpel;4.931003061;49.386372468;8470;VERPEL
L'Aire à Chevières;4.903247318;49.334069053;8120;CHEVIERES
La Risle à Brionne;0.714759598;49.183882705;27116;BRIONNE
L'Aisne à Mouron;4.782841618;49.308086498;8310;MOURON
L'Aisne à Vouziers;4.703742022;49.403857683;8490;VOUZIERS
L'Aisne à Rilly-sur-Aisne;4.645237333;49.491581476;8364;RILLY-SUR-AISNE
L'Aisne à Givry;4.538602338;49.491462874;8193;GIVRY
L'Aisne à Biermes et à Rethel;4.397408768;49.493056104;8064;BIERMES
La Risle à Pont-Authou;0.694854113;49.242018124;27468;PONT-AUTHOU
La Risle à Corneville-sur-Risle [Les Ruelles];0.58089832;49.340856041;27174;CORNEVILLE-SUR-RISLE
La Vaux à Barby;4.285829402;49.529597851;8048;BARBY
La Vaux à Château-Porcien et à Écly;4.295296903;49.538692129;8150;ECLY
La Draize à Justine-Herbigny;4.324086834;49.601117365;8240;JUSTINE-HERBIGNY
Le Plumion à Inaumont;4.318590352;49.555653586;8234;INAUMONT
La Corbie à Toutainville;0.464758617;49.363602286;27656;TOUTAINVILLE
L'Aisne à Asfeld;4.122671246;49.481890076;8024;ASFELD
La Retourne à Poilcourt-Sydney;4.100823479;49.42022086;8340;POILCOURT-SYDNEY
La Retourne à Houdilcourt;4.122920873;49.423802265;8229;HOUDILCOURT
La Retourne à Mont-Saint-Remy;4.481204256;49.390155322;8309;MONT-SAINT-REMY
La Retourne à Saint-Remy-le-Petit;4.237773941;49.415490801;8397;SAINT-REMY-LE-PETIT
La Suippe à Aguilcourt et à Orainville;4.023253919;49.383821397;2572;ORAINVILLE
La Suippe à Pontfaverger-Moronvilliers et à Selles;4.318503155;49.300329743;51440;PONTFAVERGER-MORONVILLIERS
La Suippe à Pontfaverger-Moronvilliers et à Selles;4.287821722;49.306540694;51529;SELLES
La Py à Dontrien;4.411744892;49.24411543;51216;DONTRIEN
L'Aisne [partielle] à Berry-au-Bac;3.900402917;49.401050557;2073;BERRY-AU-BAC
La rigole d'alimentation de Berry-au-Bac à Berry-au-Bac;3.911336264;49.401660847;2073;BERRY-AU-BAC
La rigole d'alimentation de Berry-au-Bac à Berry-au-Bac;3.903906926;49.39979294;2073;BERRY-AU-BAC
La rigole d'alimentation de Berry-au-Bac à Berry-au-Bac;3.898659544;49.398405972;2073;BERRY-AU-BAC
L'Aisne à Pontavert;3.820629731;49.40387413;2613;PONTAVERT
La Vesle à Bouy;4.350907047;49.089073076;51078;BOUY
La Vesle à Sept-Saulx;4.245136115;49.156279817;51530;SEPT-SAULX
La Vesle à Puisieulx;4.122645319;49.206298373;51450;PUISIEULX
La Vesle à Beaumont-sur-Vesle;4.187531806;49.177902123;51044;BEAUMONT-SUR-VESLE
La Vesle à Saint-Brice-Courcelles;3.979757486;49.265048801;51474;SAINT-BRICE-COURCELLES
La Vesle à Châlons-sur-Vesle;3.922076687;49.278314462;51109;CHALONS-SUR-VESLE
Le Rouillat à Villers-aux-Nœuds;4.004035758;49.200907448;51631;VILLERS-AUX-N≈íUDS
L'Ardre à Fismes;3.672861951;49.306948347;51250;FISMES
L'Ardre à Faverolles-et-Coëmy;3.789768704;49.232674596;51245;FAVEROLLES-ET-COEMY
La Vesle à Braine et à Cerseuil;3.527082387;49.337094694;2110;BRAINE
La Vesle à Chassemy;3.479724527;49.374524324;2167;CHASSEMY
L'Aisne à Soissons;3.329727656;49.387004436;2722;SOISSONS
L'Aisne à Soissons;3.331268061;49.381623519;2722;SOISSONS
La Crise à Soissons;3.323401081;49.363888382;2722;SOISSONS
L'Aisne à Cuffies [Vauxrot];3.328048301;49.404261717;2245;CUFFIES
Le ru de Retz à Ambleny [Pont Cheminet];3.188693417;49.380065654;2011;AMBLENY
La Seine à Fatouville-Grestain;0.318478703;49.430802144;27233;FATOUVILLE-GRESTAIN
L'Oise à Hirson;4.078194486;49.924151434;2381;HIRSON
L'Oise à Hirson;4.078407298;49.924210469;2381;HIRSON
Le Ton à Origny-en-Thiérache;4.014788758;49.895810971;2574;ORIGNY-EN-THIERACHE
La Seine à Honfleur;0.232790766;49.427784883;14333;HONFLEUR
L'Oise à Monceau-sur-Oise;3.69971916;49.898685401;2494;MONCEAU-SUR-OISE
L'Oise à Flavigny-le-Grand-et-Beaurain;3.66518872;49.89443572;2313;FLAVIGNY-LE-GRAND-ET-BEAURAIN
Le Morteau au Nouvion-en-Thiérache [Moulin Lointain];3.751598582;50.009344442;2558;NOUVION-EN-THIERACHE
L'Iron à Iron;3.659119904;49.957416497;2386;IRON
L'Oise à Origny-Sainte-Benoite;3.481800108;49.839592661;;
L'Oise à Origny-Sainte-Benoite;3.481800108;49.839592661;2575;ORIGNY-SAINTE-BENOITE
La Serre à Rozoy-sur-Serre;4.128931934;49.712456015;2666;ROZOY-SUR-SERRE
La Serre à Montcornet;4.014892934;49.698327419;2502;MONTCORNET
La Serre à Mortiers;3.666935677;49.684637538;2529;MORTIERS
La Souche à Froidmont-Cohartille;3.717282419;49.692806897;2338;FROIDMONT-COHARTILLE
La Souche à Froidmont-Cohartille [RN2];3.710233237;49.689909872;2338;FROIDMONT-COHARTILLE
La Souche à Froidmont-Cohartille [RN2];3.692091402;49.679878331;2338;FROIDMONT-COHARTILLE
La Souche à Froidmont-Cohartille [RN2];3.710233237;49.689909872;2338;FROIDMONT-COHARTILLE
Le ruisseau des Barentons à Barenton-Bugny;3.647231768;49.635617035;2046;BARENTON-BUGNY
Le ruisseau des Barentons à Chambry;3.655033483;49.592134199;2157;CHAMBRY
La Serre à Pont-à-Bucy;3.483904746;49.692260143;2611;PONT-A-BUCY
L'Oise à Condren;3.280962989;49.625003278;2212;CONDREN
La Seine au Havre [Embouchure de la Seine];0.109763689;49.432266076;76351;HAVRE
La Seine au Havre [Port];0.114612432;49.483781485;76351;HAVRE
L'Ailette à Chamouille;3.66559421;49.464095599;2158;CHAMOUILLE
L'Ailette à Chavignon;3.543677209;49.48136654;2174;CHAVIGNON
L'Ailette à Colligis-Crandelain [Crandelain];3.626553453;49.4607945;2205;COLLIGIS-CRANDELAIN
Le Rogerval à Rogerville;0.277731619;49.500182449;76533;ROGERVILLE
La Lézarde à Notre-Dame-du-Bec;0.209209143;49.59011433;76477;NOTRE-DAME-DU-BEC
L'Ailette à Chaillevois;3.52396383;49.500041;2155;CHAILLEVOIS
La Lézarde à Montivilliers;0.186444044;49.543394722;76447;MONTIVILLIERS
L'Oise à Sempigny;2.986516043;49.560397439;60610;SEMPIGNY
La Verse à Noyon [aval];2.99957165;49.568639045;60471;NOYON
La Verse à Noyon;2.992425899;49.582037903;60471;NOYON
Le canal de Tancarville au Havre [canal];0.090720298;49.48446019;76351;HAVRE
La Divette à Passel;2.963737485;49.555791517;60488;PASSEL
L'Oise au Plessis-Brion;2.890819583;49.467636366;60501;PLESSIS-BRION
L'Aronde à Clairoix;2.845815449;49.441774288;60156;CLAIROIX
L'Aronde à Clairoix;2.846021303;49.441915552;60156;CLAIROIX
L'Aronde à Clairoix;2.846037591;49.441928335;60156;CLAIROIX
L'Aronde à Braisnes;2.778041786;49.473522007;60099;BRAISNES-SUR-ARONDE
L'Aronde à Gournay-sur-Aronde [Arsonval la féculerie];2.68912206;49.482799531;60281;GOURNAY-SUR-ARONDE
L'Aronde à Gournay-sur-Aronde [Arsonval la féculerie];2.690829012;49.483180402;60281;GOURNAY-SUR-ARONDE
L'Aronde à Moyenneville;2.640555248;49.491994376;60440;MOYENNEVILLE
L'Aronde à Wacquemoulin;2.616416224;49.500404641;60698;WACQUEMOULIN
L'Oise à Jaux et à Venette;2.805782197;49.413943335;60665;VENETTE
L'Oise à Jaux et à Venette;2.778417547;49.386089756;60325;JAUX
L'Oise à Verberie;2.72996466;49.320557583;60667;VERBERIE
L'Automne à Saintines;2.774262964;49.30682303;60578;SAINTINES
L'Automne à Vauciennes;3.0338453;49.24168404;60658;VAUCIENNES
La Sainte-Marie à Glaignes;2.849979131;49.271108858;60274;GLAIGNES
La Breche à Nogent-sur-Oise;2.461384681;49.287530053;60463;NOGENT-SUR-OISE
Le Therain à Bonnières;1.966194867;49.506469642;60084;BONNIERES
Le Petit Therain à Saint-Omer-en-Chaussée;1.999087425;49.528796021;60590;SAINT-OMER-EN-CHAUSSEE
L'Avelon à Goincourt;2.056236122;49.430446306;60277;GOINCOURT
Le Therain à Beauvais;2.083986575;49.426120161;60057;BEAUVAIS
Le Therain à Maysel;2.378066252;49.262020868;60391;MAYSEL
La Nonette à Courteuil [Saint-Nicolas d'Acy];2.55364605;49.199372912;60170;COURTEUIL
La Nonette à Courteuil [Saint-Nicolas d'Acy];2.553632409;49.199363871;60170;COURTEUIL
La Launette à Ver-sur-Launette;2.688015926;49.103261891;60666;VER-SUR-LAUNETTE
L'Esches à Bornel;2.208872927;49.197689055;60088;BORNEL
La Seine à Gaillon et à Poses [après création grands lacs];1.237498141;49.310866762;27474;POSES
La Seine à Gaillon et à Poses [après création grands lacs];1.237498141;49.310866762;27474;POSES
La Seine à Gaillon et à Poses [après création grands lacs];1.236442801;49.309151963;27474;POSES
La Seine à Gaillon et à Poses [après création grands lacs];1.237498141;49.310866762;27474;POSES
[La Siffletière (source)] à Villers-en-Ouche;0.484836546;48.852576277;61506;VILLERS-EN-OUCHE
La Touques à Pierrefitte-en-Auge;0.21061128;49.252565152;14500;PIERREFITTE-EN-AUGE
La Morelle à Fiquefleur-Équainville;0.308731531;49.387515804;27243;FIQUEFLEUR-EQUAINVILLE
Le fossé 01 de la Commune de la Theil-en-Auge [source] à Genneville;0.266006431;49.367552953;14299;GENNEVILLE
La Touques à Mardilly;0.27769958;48.831501468;61252;MARDILLY
La Touques aux Moutiers-Hubert;0.263781195;48.975335338;14459;MOUTIERS-HUBERT
La Touques à Saint-Martin-de-la-Lieue;0.217318342;49.109395629;14625;SAINT-MARTIN-DE-LA-LIEUE
L'Orbiquet à Beuvillers;0.253600574;49.131470429;14069;BEUVILLERS
La Touques à Pont-l'Évêque [Rue de la Licorne];0.186838415;49.287130612;14514;PONT-L'EVEQUE
Le Chaussey au Mesnil-sur-Blangy [Le Gruchet];0.240161845;49.250654497;14426;MESNIL-SUR-BLANGY
Le Chaussey à Manneville-la-Pipard;0.221537066;49.254589491;14399;MANNEVILLE-LA-PIPARD
Le fossé 01 de Brévedent au Pin;0.320940749;49.218393874;14504;PIN
Le Chaussey au Brévedent [3 - aval];0.304091761;49.226815484;14104;BREVEDENT
[Le drain (D 2)] au Pin [La Pinterie];0.302507857;49.205317109;14504;PIN
Le Chaussey au Brévedent [1 - amont];0.303436652;49.207514802;14104;BREVEDENT
Le Chaussey au Brévedent [2 - intermédiaire];0.305218256;49.224438943;14104;BREVEDENT
La Calonne aux Authieux-sur-Calonne;0.285827055;49.297403095;14032;AUTHIEUX-SUR-CALONNE
La Calonne aux Authieux-sur-Calonne;0.285827055;49.297403095;14032;AUTHIEUX-SUR-CALONNE
La Calonne à Bonneville-la-Louvet;0.339710385;49.275279913;14085;BONNEVILLE-LA-LOUVET
La Calonne à Pont-l'Évêque [Rue de la Calonne];0.191476829;49.291349438;14514;PONT-L'EVEQUE
L'Yvie à Saint-Hymer;0.170961845;49.264432982;14593;SAINT-HYMER
Le Douet à Coudray-Rabut;0.165134073;49.308507843;14185;COUDRAY-RABUT
La Dives à Bretteville-sur-Dives;-0.023538856;49.038451563;14099;BRETTEVILLE-SUR-DIVES
La Vie à Grandchamp-le-Château;0.074785131;49.078722886;14313;GRANDCHAMP-LE-CHATEAU
La Dives à Cabourg;-0.111773967;49.285744863;14117;CABOURG
La Dives à Saint-Lambert-sur-Dive;0.074356827;48.814908493;61413;SAINT-LAMBERT-SUR-DIVE
L'Orne à Belfonds;0.132109754;48.626637922;61036;BELFONDS
La Dives à Beaumais;-0.076505128;48.896908443;14053;BEAUMAIS
L'Ante à Eraines;-0.160022615;48.911400762;14244;ERAINES
La Dives à Saint-Pierre-sur-Dives;-0.036288929;49.022679483;14654;SAINT-PIERRE-EN-AUGE
Le bras de la Dives [bras rive droite] à Magny-le-Freule;-0.064835979;49.099230986;14387;MAGNY-LE-FREULE
La Dives [bras rive gauche] à Magny-le-Freule;-0.062550751;49.096733822;14387;MAGNY-LE-FREULE
La Dives au Mesnil-Mauger et à Biéville-Quétiéville;-0.054542762;49.117092736;14527;BELLE VIE EN AUGE
La Dives au Mesnil-Mauger et à Biéville-Quétiéville;-0.044192445;49.069018525;14422;MESNIL-MAUGER
La Vie à Guerquesalles [Les Longs Champs];0.212267857;48.904206181;61198;GUERQUESALLES
La Vie à Corbon;-0.031425023;49.137355427;14178;CORBON
La Dives à Méry-Corbon [2];-0.064908323;49.148878547;14410;MERY-BISSIERES-EN-AUGE
Le canal de la Dorette à Victot-Pontfol;-0.016791226;49.163914381;14743;VICTOT-PONTFOL
Le Laizon à Croissanville;-0.100453118;49.121496322;14208;CROISSANVILLE
Le Laizon à Croissanville;-0.100453118;49.121496322;14208;CROISSANVILLE
La Dives à Saint-Pierre-du-Jonquet [Le Ham, Hernetot];-0.103465897;49.167891753;14651;SAINT-PIERRE-DU-JONQUET
La Dives à Varaville;-0.108652796;49.254922059;14724;VARAVILLE
La Muance à Argences [Fresnes];-0.16363145;49.149427299;14020;ARGENCES
Le bras de l'Ancre à Cricqueville-en-Auge;-0.062595775;49.239394056;14203;CRICQUEVILLE-EN-AUGE
L'Orne à Rabodanges;-0.296931124;48.787963821;61340;RABODANGES
L'Orne à Putanges-Pont-Écrepin;-0.296931124;48.787963821;61339;PUTANGES-LE-LAC
La Vère à Athis-de-l'Orne [Le Pont Grat];-0.541797375;48.807018514;61007;ATHIS-VAL DE ROUVRE
L'Odon à Gavrus [Pont Neuf];-0.510921594;49.123556694;14297;GAVRUS
L'Orne à Argentan;-0.024655648;48.742942109;61006;ARGENTAN
L'Ure au Bourg-Saint-Léonard;0.100118857;48.753797388;61057;BOURG-SAINT-LEONARD
La Cance à Tanques [La Noé];-0.083335615;48.692653974;61479;TANQUES
L'Udon à Écouché;-0.12847971;48.714962644;61153;ECOUCHE-LES-VALLEES
L'Orne à la Courbe [Pont RD 776];-0.18482114;48.747731175;61127;COURBE
L'Orne à la Courbe [Pont RD 776];-0.184957034;48.747727548;61127;COURBE
La Maire à Sevrai [Le Poirier];-0.157900672;48.718084896;61473;SEVRAI
La Rouvre à Saint-Hilaire-de-Briouze [Le Tranchot];-0.322226332;48.683669451;61402;SAINT-HILAIRE-DE-BRIOUZE
Le Lembron à Taillebois [Le Fil];-0.444697761;48.809830635;61478;TAILLEBOIS
La Rouvre à Ségrie-Fontaine [Maison de la Rivière];-0.39797704;48.811726624;61465;SEGRIE-FONTAINE
L'Orne au Mesnil-Villement;-0.390835598;48.849862731;14427;MESNIL-VILLEMENT
L'Orne à Pont-d'Ouilly [amont confluence du Noireau];-0.408996346;48.871004126;14764;PONT-D'OUILLY
Le Noireau à Saint-Pierre-d'Entremont;-0.636385214;48.801097592;61445;SAINT-PIERRE-D'ENTREMONT
La Druance à Périgny;-0.607021884;48.910100157;14496;PERIGNY
La Druance à Saint-Germain-du-Crioult;-0.571720911;48.862600894;14585;SAINT-GERMAIN-DU-CRIOULT
Le Noireau à Cahan [Les Planches - CD 911];-0.438439289;48.866812831;61069;CAHAN
Le Noireau à Condé-sur-Noireau [Rue du Moulin Biot];-0.544625563;48.849606512;14174;CONDE-EN-NORMANDIE
La Vère à Saint-Pierre-du-Regard;-0.510202996;48.846868109;61447;SAINT-PIERRE-DU-REGARD
La Visance à Landisacq;-0.66072205;48.743784856;61222;LANDISACQ
La Visance à Landisacq [Plan d'eau];-0.656321822;48.743937793;61222;LANDISACQ
Le ruisseau de l'Aubrière à Chanu;-0.659292428;48.737958238;61093;CHANU
L'Orne à Clécy;-0.481141534;48.92651871;14162;CLECY
L'Orne à Grimbosq;-0.466718192;49.033498264;14320;GRIMBOSQ
L'Orne à Thury-Harcourt;-0.482778091;48.989497015;14689;HOM
L'Orne à Grimbosq [barrage du Val de Viard];-0.4489545;49.065474676;14320;GRIMBOSQ
La Laize à Saint-Germain-le-Vasson [Le Livet];-0.31683521;49.004371687;14589;SAINT-GERMAIN-LE-VASSON
La Laize à Fresney-le-Puceux [La Planche à la Housse];-0.353942465;49.057852086;14290;FRESNEY-LE-PUCEUX
[La source de la mine] à Urville;-0.309075231;49.029641381;14719;URVILLE
L'Orne à May-sur-Orne;-0.386368464;49.109625506;14408;MAY-SUR-ORNE
L'Orne à Louvigny;-0.390027738;49.154653156;14383;LOUVIGNY
L'Odon à Épinay-sur-Odon;-0.615101451;49.074080083;14241;EPINAY-SUR-ODON
L'Orne à Caen [Pont de Vaucelles];-0.355407081;49.177211503;14118;CAEN
Le canal de Caen à la Mer à Caen;-0.354326796;49.180661068;14118;CAEN
La Seulline à Maisoncelles-Pelvey [La Queue du Renard];-0.670721934;49.072672065;14389;MAISONCELLES-PELVEY
La Seulles à Juvigny-sur-Seulles;-0.615575734;49.162593978;14348;JUVIGNY-SUR-SEULLES
La Seulles à Tierceville;-0.530688331;49.291397603;14690;TIERCEVILLE
La Mue à Reviers;-0.464526672;49.302610624;14535;REVIERS
La Mue à Cairon;-0.449579756;49.241212315;14123;CAIRON
La Dathée à Saint-Germain-de-Tallevende-la-Lande-Vaumont [1];-0.932057187;48.815501559;14584;SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT
La Dathée [partielle] à Saint-Manvieu-Bocage [1];-0.965008796;48.814187325;14611;SAINT-MANVIEU-BOCAGE
La Dathée [partielle] à Saint-Manvieu-Bocage [2];-0.964522731;48.812816701;14611;SAINT-MANVIEU-BOCAGE
La Dathée à Saint-Germain-de-Tallevende-la-Lande-Vaumont [2];-0.942795459;48.810735298;14584;SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT
La Virene à Saint-Germain-de-Tallevende-la-Lande-Vaumont;-0.912704884;48.817622689;14584;SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT
La Douve à Sottevast;-1.590017305;49.523736108;50579;SOTTEVAST
La Vire à Vire;-0.900502577;48.843504139;14762;VIRE NORMANDIE
La Vire à Coulonces [Le Gast];-0.889272612;48.86100497;14187;COULONCES
La Souleuvre à Carville;-0.888745643;48.947115841;14139;CARVILLE
La Scye à Bricquebec [Le Valdécie - RD 50];-1.655211947;49.438805958;50082;BRICQUEBEC-EN-COTENTIN
La Vire à Malloué;-0.964648461;48.936136922;14395;MALLOUE
La Vire à Tessy-sur-Vire;-1.055407971;48.974958567;50592;TESSY-BOCAGE
Le ruisseau de Precurbin à Condé-sur-Vire;-1.018325598;49.055717867;50139;CONDE-SUR-VIRE
